UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 250,,
UCB,Calc2,A,1,MATH 1B,MATH 251,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 252,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 253; MATH 254,,
UCD,DiscreteMath,A,1,ECS 020,MATH 260,MATH 265,
UCD,Intro1,A,1,ECS 036A,CIS 115,MATH 130,
UCD,Intro2,A,1,ECS 036B,Not Articulated,,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,,
UCD,Organization,A,1,ECS 050,MATH 230,,
UCD,Calc1,A,1,MAT 021A,MATH 250,,
UCD,Calc2,A,1,MAT 021B,MATH 251,,
UCD,Calc3,A,1,MAT 021C,MATH 252,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 106,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 106,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 106,,
UCI,Calc1,A,1,MATH 2A,MATH 121; MATH 122,MATH 250,
UCI,Calc2,A,1,MATH 2B,MATH 251,,
UCLA,Intro,A,1,COM SCI 31,CIS 115,,
UCLA,Calc1,A,1,MATH 31A,MATH 250,,
UCLA,Calc2,A,1,MATH 31B,MATH 251,,
UCLA,Calc3,A,1,MATH 32A,MATH 252,,
UCLA,Calc4,A,1,MATH 32B,MATH 252,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 254,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 253,,
UCM,DataStructures,A,1,CSE 030,MATH 140,,
UCM,Calc1,A,1,MATH 021,MATH 250,,
UCM,Calc2,A,1,MATH 022,MATH 251,,
UCM,VectorCalc,A,1,MATH 023,MATH 252,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 253; MATH 254,,
UCM,DataStructures,A,1,CSE 030,MATH 140,,
UCR,Intro1,A,1,CS 10A,CIS 115,MATH 130,MATH 140
UCR,Intro2,A,1,CS 10B,Not Articulated,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 250; MATH 251,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 250; MATH 251,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 250; MATH 251,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,CIS 153,MATH 130,
UCSD,DataStructures,A,1,CSE 12,MATH 140,,
UCSD,DiscreteMath,A,1,CSE 20,MATH 260,MATH 265,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 254,,
UCSD,Calc1,A,1,MATH 20A,MATH 250,,
UCSD,Calc2,A,1,MATH 20B,MATH 251,,
UCSD,Calc3,A,1,MATH 20C,MATH 252,,
UCSB,Calc1,A,1,MATH 3A,MATH 250,,
UCSB,Calc2,A,1,MATH 3B,MATH 251,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 254,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 253,,
UCSB,Intro,A,1,CMPSC 16,CIS 115,ENGR 120C,
UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,,
UCSB,DiscreteMath,A,1,CMPSC 40,MATH 260,MATH 265,
UCSC,DataStructures,A,1,CSE 12,MATH 230,,
UCSC,DiscreteMath,A,1,CSE 16,MATH 260,MATH 265,
UCSC,Intro,A,1,CSE 30,MATH 140,,
UCSC,Calc1,A,1,MATH 19A,MATH 250,,
UCSC,Calc2,A,1,MATH 19B,MATH 251,,
