UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 211,
UCB,Calc2,A,1,MATH 1B,MATH 212,
UCB,MultivariableCalc,A,1,MATH 53,MATH 213,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 214; MATH 215,
UCD,DiscreteMath,A,1,ECS 020,CMPSCI 256,
UCD,ProblemSolving,A,1,ECS 036A,CMPSCI 235,
UCD,ObjectOriented,A,1,ECS 036B,CMPSCI 236,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,Not Articulated,
UCD,Calc1,A,1,MAT 021A,MATH 211,
UCD,Calc2,A,1,MAT 021B,MATH 212,
UCD,Calc3,A,1,MAT 021C,MATH 213,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 211; MATH 240,
UCI,Calc2,A,1,MATH 2B,MATH 212,
UCLA,Intro,A,1,COM SCI 31,CMPSCI 236,
UCLA,Calc1,A,1,MATH 31A,MATH 211,
UCLA,Calc2,A,1,MATH 31B,MATH 212,
UCLA,Calc3,A,1,MATH 32A,MATH 213,
UCLA,Calc4,A,1,MATH 32B,MATH 213,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 214,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 215,
UCM,DataStructures,A,1,CSE 030,CMPSCI 182; CMPSCI 182L,
UCM,Calc1,A,1,MATH 021,MATH 211,
UCM,Calc2,A,1,MATH 022,MATH 212,
UCM,VectorCalc,A,1,MATH 023,MATH 213,
UCM,LinearAlgebra,A,1,MATH 024,MATH 214; MATH 215,
UCM,DataStructures,A,1,CSE 030,CMPSCI 182; CMPSCI 182L,
UCR,Intro1,A,1,CS 10A,CMPSCI 111; CMPSCI 111L,CMPSCI 235
UCR,Intro2,A,1,CS 10B,CMPSCI 236,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 211; MATH 212,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 211; MATH 212,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 211; MATH 212,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,CMPSCI 111; CMPSCI 111L,
UCSD,DataStructures,A,1,CSE 12,CMPSCI 182; CMPSCI 182L,
UCSD,DiscreteMath,A,1,CSE 20,CMPSCI 256,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 214,
UCSD,Calc1,A,1,MATH 20A,MATH 211,
UCSD,Calc2,A,1,MATH 20B,MATH 212,
UCSD,Calc3,A,1,MATH 20C,MATH 213,
UCSB,Calc1,A,1,MATH 3A,MATH 211,
UCSB,Calc2,A,1,MATH 3B,MATH 212,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 214,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 215,
UCSB,Comp1,A,1,CMPSC 16,CMPSCI 182; CMPSCI 182L; CMPSCI 235,
UCSB,Comp2,A,1,CMPSC 24,CMPSCI 236; CMPSCI 282,
UCSB,Comp3,A,1,CMPSC 40,CMPSCI 256,
UCSC,DataStructures,A,1,CSE 12,CMPSCI 122,
UCSC,DiscreteMath,A,1,CSE 16,CMPSCI 256,
UCSC,Intro,A,1,CSE 30,CMPSCI 182; CMPSCI 182L,
UCSC,Calc1,A,1,MATH 19A,MATH 211,
UCSC,Calc2,A,1,MATH 19B,MATH 212,
