College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Solano Community College,UCB,Calc1,A,1,MATH 1A,MATH 020,
Solano Community College,UCB,Calc2,A,1,MATH 1B,MATH 021; MATH 023,
Solano Community College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 023; MATH 040,
Solano Community College,UCB,MultivariableCalc,A,1,MATH 53,MATH 022,
Solano Community College,UCD,Algorithms,A,1,ECS 036C,CIS 023,
Solano Community College,UCD,Calc1,A,1,MAT 021A,MATH 020,
Solano Community College,UCD,Calc2,A,1,MAT 021B,MATH 021,
Solano Community College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 022,
Solano Community College,UCD,DiscreteMath,A,1,ECS 020,CIS 021,
Solano Community College,UCD,ObjectOriented,A,1,ECS 036B,CIS 023,
Solano Community College,UCD,Organization,A,1,ECS 050,CIS 020,
Solano Community College,UCD,ProblemSolving,A,1,ECS 036A,CIS 022,CIS 035
Solano Community College,UCI,Calc1,A,1,MATH 2A,MATH 020,MATH 030
Solano Community College,UCI,Calc2,A,1,MATH 2B,MATH 021,MATH 031
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Solano Community College,UCLA,Calc1,A,1,MATH 31A,MATH 020,
Solano Community College,UCLA,Calc2,A,1,MATH 31B,MATH 021,
Solano Community College,UCLA,Calc3,A,1,MATH 32A,MATH 022,
Solano Community College,UCLA,Calc4,A,1,MATH 32B,MATH 022,
Solano Community College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 023,
Solano Community College,UCLA,Intro,A,1,COM SCI 31,CIS 022,
Solano Community College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 040,
Solano Community College,UCM,Calc1,A,1,MATH 021,MATH 020,
Solano Community College,UCM,Calc2,A,1,MATH 022,MATH 021,
Solano Community College,UCM,DataStructures,A,1,CSE 030,CIS 023,
Solano Community College,UCM,LinearAlgebra,A,1,MATH 024,MATH 023; MATH 040,
Solano Community College,UCM,VectorCalc,A,1,MATH 023,MATH 022,
Solano Community College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 020; MATH 021,
Solano Community College,UCR,Intro1,A,1,CS 10A,CIS 022,CIS 035
Not Articulated,UCR,Intro2,A,1,CS 10B,Not Articulated,
Solano Community College,UCSB,Calc1,A,1,MATH 3A,MATH 020,
Solano Community College,UCSB,Calc2,A,1,MATH 3B,MATH 021,
Not Articulated,UCSB,Comp1,A,1,CMPSC 16,Not Articulated,
Not Articulated,UCSB,Comp2,A,1,CMPSC 24,Not Articulated,
Solano Community College,UCSB,Comp3,A,1,CMPSC 40,CIS 021,ENGR 012
Solano Community College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 023,
Solano Community College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 040,
Solano Community College,UCSC,Calc1,A,1,MATH 19A,MATH 020,
Solano Community College,UCSC,Calc2,A,1,MATH 19B,MATH 021,
Solano Community College,UCSC,DataStructures,A,1,CSE 12,CIS 020,
Solano Community College,UCSC,DiscreteMath,A,1,CSE 16,CIS 021,
Solano Community College,UCSC,Python,A,1,CSE 30,CIS 023,
Solano Community College,UCSD,Cal1,A,1,MATH 20A,MATH 020,
Solano Community College,UCSD,Cal2,A,1,MATH 20B,MATH 021,
Solano Community College,UCSD,Calc3,A,1,MATH 20C,MATH 022,
Solano Community College,UCSD,DataStructures,A,1,CSE 12,CIS 023,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
Solano Community College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 040,
