College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Copper Mountain College,UCB,Calc1,A,1,MATH 1A,MATH 001A,
Copper Mountain College,UCB,Calc2,A,1,MATH 1B,MATH 001B,
Copper Mountain College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 002B; MATH 002C,
Copper Mountain College,UCB,MultivariableCalc,A,1,MATH 53,MATH 002A,
Not Articulated,UCD,Algorithms,A,1,ECS 036C,Not Articulated,
Copper Mountain College,UCD,Calc1,A,1,MAT 021A,MATH 001A,
Copper Mountain College,UCD,Calc2,A,1,MAT 021B,MATH 001B,
Copper Mountain College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 002A,
Copper Mountain College,UCD,DiscreteMath,A,1,ECS 020,MATH 004,
Copper Mountain College,UCD,ObjectOriented,A,1,ECS 036B,CS 089A,
Copper Mountain College,UCD,Organization,A,1,ECS 050,CS 087,
Copper Mountain College,UCD,ProblemSolving,A,1,ECS 036A,CS 089,
Copper Mountain College,UCI,Calc1,A,1,MATH 2A,MATH 001A,
Copper Mountain College,UCI,Calc2,A,1,MATH 2B,MATH 001B,
Copper Mountain College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 089; CS 089A,
Copper Mountain College,UCLA,Calc1,A,1,MATH 31A,MATH 001A,
Copper Mountain College,UCLA,Calc2,A,1,MATH 31B,MATH 001B,
Copper Mountain College,UCLA,Calc3,A,1,MATH 32A,MATH 002A,
Copper Mountain College,UCLA,Calc4,A,1,MATH 32B,MATH 002A,
Copper Mountain College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 002C,
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,
Copper Mountain College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 002B,
Copper Mountain College,UCM,Calc1,A,1,MATH 021,MATH 001A,
Copper Mountain College,UCM,Calc2,A,1,MATH 022,MATH 001B,
Copper Mountain College,UCM,DataStructures,A,1,CSE 030,CS 089A,
Copper Mountain College,UCM,LinearAlgebra,A,1,MATH 024,MATH 002B; MATH 002C,
Copper Mountain College,UCM,VectorCalc,A,1,MATH 023,MATH 002A,
Copper Mountain College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 001A; MATH 001B,
Copper Mountain College,UCR,Intro1,A,1,CS 10A,CS 089,PH 005
Copper Mountain College,UCR,Intro2,A,1,CS 10B,CS 089A,
Copper Mountain College,UCSB,Calc1,A,1,MATH 3A,MATH 001A,
Copper Mountain College,UCSB,Calc2,A,1,MATH 3B,MATH 001B,
Copper Mountain College,UCSB,Comp1,A,1,CMPSC 16,CS 089,
Copper Mountain College,UCSB,Comp2,A,1,CMPSC 24,CS 089A,
Copper Mountain College,UCSB,Comp3,A,1,CMPSC 40,MATH 004,
Copper Mountain College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 002C,
Copper Mountain College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 002B,
Copper Mountain College,UCSC,Calc1,A,1,MATH 19A,MATH 001A,
Copper Mountain College,UCSC,Calc2,A,1,MATH 19B,MATH 001B,
Copper Mountain College,UCSC,DataStructures,A,1,CSE 12,CS 087,
Copper Mountain College,UCSC,DiscreteMath,A,1,CSE 16,MATH 004,
Not Articulated,UCSC,Intro,A,1,CSE 30,Not Articulated,
Copper Mountain College,UCSD,Calc1,A,1,MATH 20A,MATH 001A,
Copper Mountain College,UCSD,Calc2,A,1,MATH 20B,MATH 001B,
Copper Mountain College,UCSD,Calc3,A,1,MATH 20C,MATH 002A,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Copper Mountain College,UCSD,DiscreteMath,A,1,CSE 20,MATH 004,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
Copper Mountain College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 002B,
