College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
City College of San Francisco,UCB,Calc1,A,1,MATH 1A,MATH 110A,
City College of San Francisco,UCB,Calc2,A,1,MATH 1B,MATH 110B,
City College of San Francisco,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 120; MATH 125,MATH 130
City College of San Francisco,UCB,MultivariableCalc,A,1,MATH 53,MATH 110C,
City College of San Francisco,UCD,Algorithms,A,1,ECS 036A; ECS 036B; ECS 036C,CS 110B; CS 110C,CS 111B; CS 111C
City College of San Francisco,UCD,Calc1,A,1,MAT 021A,MATH 110A,
City College of San Francisco,UCD,Calc2,A,1,MAT 021B,MATH 110A; MATH 110B,
City College of San Francisco,UCD,Calc3,A,1,MAT 021C,MATH 110B; MATH 110C,
City College of San Francisco,UCD,DiscreteMath,A,1,ECS 020,MATH 115,
City College of San Francisco,UCD,ObjectOriented,A,1,ECS 036A; ECS 036B; ECS 036C,CS 110B; CS 110C,CS 111B; CS 111C
City College of San Francisco,UCD,Organization,A,1,ECS 050,CS 270,
City College of San Francisco,UCD,ProblemSolving,A,1,ECS 036A; ECS 036B; ECS 036C,CS 110B; CS 110C,CS 111B; CS 111C
City College of San Francisco,UCI,Calc1,A,1,MATH 2A,MATH 100A,MATH 110A
City College of San Francisco,UCI,Calc2,A,1,MATH 2B,MATH 100B,MATH 110B
City College of San Francisco,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 131B; CS 231,
City College of San Francisco,UCLA,Calc1,A,1,MATH 31A,MATH 110A,
City College of San Francisco,UCLA,Calc2,A,1,MATH 31B,MATH 110B,
City College of San Francisco,UCLA,Calc3,A,1,MATH 32A,MATH 110C,
City College of San Francisco,UCLA,Calc4,A,1,MATH 32B,MATH 110C,
City College of San Francisco,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 125,MATH 130
City College of San Francisco,UCLA,Intro,A,1,COM SCI 31,CS 110B,
City College of San Francisco,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 120,MATH 130
City College of San Francisco,UCM,Calc1,A,1,MATH 021,MATH 110A,
City College of San Francisco,UCM,Calc2,A,1,MATH 022,MATH 110B,
City College of San Francisco,UCM,DataStructures,A,1,CSE 030,CS 110C,CS 111C
City College of San Francisco,UCM,LinearAlgebra,A,1,MATH 024,MATH 120; MATH 125,MATH 130
City College of San Francisco,UCM,VectorCalc,A,1,MATH 023,MATH 110C,
City College of San Francisco,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 110A; MATH 110B,
City College of San Francisco,UCR,Intro1,A,1,CS 10A,CS 110A,CS 110B
City College of San Francisco,UCR,Intro2,A,1,CS 10B,CS 110B,
City College of San Francisco,UCSB,Calc1,A,1,MATH 3A,MATH 110A,
City College of San Francisco,UCSB,Calc2,A,1,MATH 3B,MATH 110B,
City College of San Francisco,UCSB,Comp1,A,1,CMPSC 16,CS 110B,
City College of San Francisco,UCSB,Comp2,A,1,CMPSC 24,CS 110C,
City College of San Francisco,UCSB,Comp3,A,1,CMPSC 40,MATH 115,
City College of San Francisco,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 125,MATH 130
City College of San Francisco,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 120,MATH 130
City College of San Francisco,UCSC,Calc1,A,1,MATH 19A,MATH 110A,
City College of San Francisco,UCSC,Calc2,A,1,MATH 19B,MATH 110B,
City College of San Francisco,UCSC,DataStructures,A,1,CSE 12,CS 270,
City College of San Francisco,UCSC,DiscreteMath,A,1,CSE 16,MATH 115,
City College of San Francisco,UCSC,Python,A,1,CSE 30,CS 110C,CS 111C
City College of San Francisco,UCSD,Cal1,A,1,MATH 20A,MATH 110A,
City College of San Francisco,UCSD,Cal2,A,1,MATH 20B,MATH 110B,
City College of San Francisco,UCSD,Calc3,A,1,MATH 20C,MATH 110C,
City College of San Francisco,UCSD,DataStructures,A,1,CSE 12,CS 110C,CS 111C
City College of San Francisco,UCSD,DiscreteMath,A,1,CSE 20,MATH 115,
City College of San Francisco,UCSD,Intro,A,1,CSE 8B,CS 111B,
City College of San Francisco,UCSD,Intro,B,1,CSE 11,CS 111B,
City College of San Francisco,UCSD,LinearAlgebra,A,1,MATH 18,MATH 120,MATH 130
