College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Antelope Valley College,UCB,Calc1,A,1,MATH 1A,MATH 150,,
Antelope Valley College,UCB,Calc2,A,1,MATH 1B,MATH 160,,
Antelope Valley College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 220; MATH 230,,
Antelope Valley College,UCB,MultivariableCalc,A,1,MATH 53,MATH 250,,
Antelope Valley College,UCD,Algorithms,A,1,ECS 036C,CS 131,,
Antelope Valley College,UCD,Calc1,A,1,MAT 021A,MATH 150,MATH 150H,
Antelope Valley College,UCD,Calc2,A,1,MAT 021B,MATH 150; MATH 160,MATH 150H; MATH 160,
Antelope Valley College,UCD,Calc3,A,1,MAT 021C,MATH 160; MATH 250,,
Antelope Valley College,UCD,DiscreteMath,A,1,ECS 020,CS 150,,
Not Articulated,UCD,ObjectOriented,A,1,ECS 036B,Not Articulated,,
Antelope Valley College,UCD,Organization,A,1,ECS 050,CS 140,,
Not Articulated,UCD,ProblemSolving,A,1,ECS 036A,Not Articulated,,
Antelope Valley College,UCI,Calc1,A,1,MATH 2A,MATH 150; MATH 150H,,
Antelope Valley College,UCI,Calc2,A,1,MATH 2B,MATH 160,,
Antelope Valley College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 120; CS 130; CS 230,CS 121; CS 131; CS 231,
Antelope Valley College,UCLA,Calc1,A,1,MATH 31A,MATH 150,,
Antelope Valley College,UCLA,Calc2,A,1,MATH 31B,MATH 160,,
Antelope Valley College,UCLA,Calc3,A,1,MATH 32A,MATH 250,,
Antelope Valley College,UCLA,Calc4,A,1,MATH 32B,MATH 250,,
Antelope Valley College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 230,,
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,,
Antelope Valley College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 220,,
Antelope Valley College,UCM,Calc1,A,1,MATH 021,MATH 150,,
Antelope Valley College,UCM,Calc2,A,1,MATH 022,MATH 160,,
Antelope Valley College,UCM,DataStructures,A,1,CSE 030,CS 130,CS 131,CS 132
Antelope Valley College,UCM,LinearAlgebra,A,1,MATH 024,MATH 220; MATH 230,,
Antelope Valley College,UCM,VectorCalc,A,1,MATH 023,MATH 250,,
Antelope Valley College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 160,,
Not Articulated,UCR,Intro1,A,1,CS 10A,Not Articulated,,
Not Articulated,UCR,Intro2,A,1,CS 10B,Not Articulated,,
Antelope Valley College,UCSB,Calc1,A,1,MATH 3A,MATH 150,MATH 150H,
Antelope Valley College,UCSB,Calc2,A,1,MATH 3B,MATH 160,,
Not Articulated,UCSB,Comp1,A,1,CMPSC 16,Not Articulated,,
Antelope Valley College,UCSB,Comp2,A,1,CMPSC 24,CS 130,,
Antelope Valley College,UCSB,Comp3,A,1,CMPSC 40,CS 150,,
Antelope Valley College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 230,,
Antelope Valley College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 220,,
Antelope Valley College,UCSC,Calc1,A,1,MATH 19A,MATH 150,,
Antelope Valley College,UCSC,Calc2,A,1,MATH 19B,MATH 160,,
Antelope Valley College,UCSC,DataStructures,A,1,CSE 12,CS 140,,
Antelope Valley College,UCSC,DiscreteMath,A,1,CSE 16,CS 150,,
Antelope Valley College,UCSC,Intro,A,1,CSE 30,CS 131,CS 132,
Antelope Valley College,UCSD,Calc1,A,1,MATH 20A,MATH 150,,
Antelope Valley College,UCSD,Calc2,A,1,MATH 20B,MATH 160,,
Antelope Valley College,UCSD,Calc3,A,1,MATH 20C,MATH 250,,
Antelope Valley College,UCSD,DataStructures,A,1,CSE 12,CS 130; CS 131; CS 132,,
Antelope Valley College,UCSD,DiscreteMath,A,1,CSE 20,CS 150,,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,,
Antelope Valley College,UCSD,Intro,B,1,CSE 11,CS 230; CS 231,,
Antelope Valley College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 220,,
